,date,awnd,evap,prcp,snow,tavg,tmax,wdmv
sierra_2014,2014.0,,,33.5775,13.0,49.42857142857143,62.37142857142857,
sierra_2015,2015.0,,,25.265,50.0,48.99999999999999,62.01428571428572,
sierra_2016,2016.0,,,48.9675,32.233333333333334,47.916666666666664,61.550000000000004,
siskiyou_2010,2010.0,4.5,,25.397142857142853,9.466666666666667,50.375,62.55500000000001,
siskiyou_2011,2011.0,4.25,,19.47714285714286,,49.771428571428565,63.02727272727273,
siskiyou_2012,2012.0,4.4,,33.23,,51.31,64.41,
siskiyou_2013,2013.0,4.15,,10.266250000000001,18.05,51.510000000000005,65.44,
siskiyou_2014,2014.0,4.6,,22.381249999999998,0.0,53.81904761904763,67.06190476190476,
siskiyou_2016,2016.0,4.5,,29.54875,4.3,52.364999999999995,64.83500000000001,
siskiyou_2015,2015.0,4.15,,20.725714285714282,7.4,54.10454545454545,67.00909090909092,
tuolumne_2010,2010.0,,66.5,54.35833333333333,78.35000000000001,56.01428571428571,67.64285714285714,10531.0
tuolumne_2011,2011.0,,68.4,31.786666666666665,,54.5125,67.125,11295.3
tuolumne_2012,2012.0,,79.4,34.435,,57.16666666666666,69.7,9574.1
tuolumne_2014,2014.0,,,26.6125,,54.416666666666664,67.43333333333334,
tuolumne_2015,2015.0,,,27.263333333333335,,56.71666666666667,68.63333333333334,
tuolumne_2016,2016.0,,,39.275,22.2,54.214285714285715,66.85714285714286,
tuolumne_2013,2013.0,,85.0,9.175,,57.56,70.56,11855.1
yolo_2013,2013.0,,98.2,4.836,0.0,63.13333333333333,78.0,
yolo_2014,2014.0,,90.4,20.224,,65.375,79.15,
yolo_2015,2015.0,,83.1,8.180000000000001,,64.13333333333334,78.3,
yolo_2016,2016.0,,76.5,20.455000000000002,0.0,63.60000000000001,77.025,
yolo_2010,2010.0,,,24.983333333333334,0.0,61.849999999999994,74.175,
yolo_2012,2012.0,,90.1,22.44666666666667,,63.025,76.7,
yolo_2011,2011.0,,78.6,17.509999999999998,,61.23333333333333,74.7,
calaveras_2015,2015.0,,,28.44333333333334,0.0,53.1,63.3,
calaveras_2016,2016.0,,,47.55666666666667,11.033333333333333,51.0,61.1,
calaveras_2010,2010.0,,,47.035000000000004,0.0,58.85,70.2,
calaveras_2013,2013.0,,,12.83,,59.1,72.8,
calaveras_2014,2014.0,,,27.939999999999998,,,,
calaveras_2012,2012.0,,,23.76,,58.5,71.3,
calaveras_2011,2011.0,,,20.6,,58.55,70.35,
san_diego_2012,2012.0,5.0,,10.244,12.5,63.015625,75.115625,
san_diego_2013,2013.0,5.35,,7.378225806451611,7.166666666666667,62.01388888888888,73.86111111111109,
san_diego_2014,2014.0,5.388888888888889,,8.548333333333334,2.5500000000000003,64.28181818181818,76.63636363636363,
san_diego_2015,2015.0,5.3875,,10.59014925373134,0.0,63.75675675675676,75.19459459459459,
san_diego_2016,2016.0,5.6625,,13.989047619047621,0.0,63.70294117647057,74.89117647058822,
san_diego_2010,2010.0,4.957142857142857,,24.256153846153836,2.7571428571428567,60.358620689655176,72.09310344827585,
san_diego_2011,2011.0,4.7250000000000005,,13.357954545454549,29.5,60.53703703703705,72.13333333333333,
placer_2010,2010.0,6.05,,67.28818181818181,171.54999999999998,49.99999999999999,60.05555555555556,
placer_2011,2011.0,6.3,,39.44500000000001,390.4,48.98888888888889,60.07777777777778,
placer_2012,2012.0,6.35,,53.99181818181819,352.15000000000003,51.339999999999996,62.33,
placer_2013,2013.0,5.7,,14.465384615384616,65.3,50.1,61.4625,
placer_2014,2014.0,6.45,,42.440000000000005,160.55,52.82222222222222,63.699999999999996,
placer_2015,2015.0,5.8,,26.921538461538457,78.0,52.83,63.739999999999995,
placer_2016,2016.0,6.6,,59.63666666666666,133.92499999999998,51.660000000000004,62.27,
tehama_2010,2010.0,7.4,,28.945,0.0,58.349999999999994,68.3,
tehama_2011,2011.0,7.4,,16.505,,59.31999999999999,70.66,
tehama_2012,2012.0,7.4,,25.57,,60.449999999999996,71.45,
tehama_2013,2013.0,7.6,,6.9975000000000005,0.0,61.53333333333333,72.96666666666668,
tehama_2014,2014.0,7.6,,31.947000000000003,,62.69999999999999,73.2,
tehama_2015,2015.0,7.2,,13.357999999999999,,62.34000000000001,72.7,
tehama_2016,2016.0,7.6,,33.04,,61.660000000000004,71.6,
san_mateo_2014,2014.0,,,24.84,,,,
nevada_2010,2010.0,2.0,,60.552,69.91999999999999,50.21428571428572,61.225,
nevada_2013,2013.0,2.0,,13.229999999999999,34.2,51.300000000000004,64.925,
nevada_2015,2015.0,1.8,,29.837142857142855,43.720000000000006,53.52222222222221,66.07777777777778,
nevada_2016,2016.0,,,59.83833333333333,60.05999999999999,51.6,63.77777777777778,
nevada_2014,2014.0,1.8,,41.602999999999994,14.066666666666668,53.089999999999996,65.74,
nevada_2012,2012.0,2.0,,49.691428571428574,121.55000000000001,50.511111111111106,63.62222222222223,
nevada_2011,2011.0,2.0,,46.42166666666666,90.4,49.857142857142854,61.275000000000006,
sonoma_2012,2012.0,4.5,,43.950625,0.0,57.74285714285714,69.54285714285713,
sonoma_2013,2013.0,4.5,,9.732222222222221,,58.18333333333333,70.35000000000001,
sonoma_2014,2014.0,4.5,,40.55818181818182,,60.385714285714286,71.95714285714286,
sonoma_2015,2015.0,4.3,,18.197368421052634,,60.228571428571435,72.21428571428572,
sonoma_2016,2016.0,4.9,,45.016666666666666,,59.25,71.06666666666666,
sonoma_2010,2010.0,4.3,,51.47562500000001,0.0,55.87500000000001,65.575,
sonoma_2011,2011.0,4.0,,30.759230769230765,0.0,56.080000000000005,67.02000000000001,
sutter_2012,2012.0,,,23.57,,,,
sutter_2010,2010.0,,,22.34,0.0,,,
sutter_2013,2013.0,,,6.41,,,,
sutter_2014,2014.0,,,19.35,,,,
sutter_2015,2015.0,,,8.85,,,,
sutter_2016,2016.0,,,22.33,0.0,,,
san_luis_obispo_2010,2010.0,6.15,,26.394,0.0,58.82222222222223,72.12222222222222,
san_luis_obispo_2011,2011.0,6.15,,15.8,,58.79999999999999,73.14999999999999,
san_luis_obispo_2012,2012.0,6.15,,18.06625,,60.716666666666676,75.225,
san_luis_obispo_2013,2013.0,5.8,,3.7022222222222223,0.0,60.96153846153845,75.7923076923077,
san_luis_obispo_2014,2014.0,6.25,,14.775,,63.04615384615385,77.05384615384615,
san_luis_obispo_2015,2015.0,6.35,,9.76875,,62.1,75.48181818181818,
san_luis_obispo_2016,2016.0,6.4,,19.189,,61.55,75.17,
